"Household income statistics by household type: Census metropolitan areas, tracted census agglomerations and census tracts 1"
"Frequency: Occasional"
"Table: 98-10-0058-01"
"Release date: 2022-07-13"
"Geography: Census metropolitan area, Census agglomeration, Census tract"
"Universe: Private households in occupied private dwellings, 2021 and 2016 censuses — 100% data"
"Variable List: Household type including census family structure (11), Household size (7), Household income statistics (6)"

"Geography","Household size (7) 2","Household type including census family structure (11)","Household income statistics (6)","Vector","Coordinate","2021"
,,,"Median household after-tax income (2015) (2020 constant dollars)","..","225.1.1.6","108,000"
"0002.36 - Calgary i226",,,"Number of households (2021) 4 5 6","..","226.1.1.1","1,370"
,,,"Median household total income (2020) (2020 constant dollars)","..","226.1.1.3","95,000"
,,,"Median household after-tax income (2015) (2020 constant dollars)","..","226.1.1.6","97,000"
"0002.37 - Calgary i227",,,"Number of households (2021) 4 5 6","..","227.1.1.1","1,110"
,,,"Median household total income (2020) (2020 constant dollars)","..","227.1.1.3","141,000"
,,,"Median household after-tax income (2015) (2020 constant dollars)","..","227.1.1.6","..."
"0002.38 - Calgary i228",,,"Number of households (2021) 4 5 6","..","228.1.1.1","5,335"
,,,"Median household total income (2020) (2020 constant dollars)","..","228.1.1.3","118,000"
,,,"Median household after-tax income (2015) (2020 constant dollars)","..","228.1.1.6","..."
"0002.39 - Calgary i229",,,"Number of households (2021) 4 5 6","..","229.1.1.1","2,170"
,,,"Median household total income (2020) (2020 constant dollars)","..","229.1.1.3","129,000"
,,,"Median household after-tax income (2015) (2020 constant dollars)","..","229.1.1.6","..."
"0002.40 - Calgary i230",,,"Number of households (2021) 4 5 6","..","230.1.1.1","3,210"
,,,"Median household total income (2020) (2020 constant dollars)","..","230.1.1.3","139,000"
,,,"Median household after-tax income (2015) (2020 constant dollars)","..","230.1.1.6","..."
"0003.00 - Calgary i231",,,"Number of households (2021) 4 5 6","..","231.1.1.1","1,405"
,,,"Median household total income (2020) (2020 constant dollars)","..","231.1.1.3","103,000"
,,,"Median household after-tax income (2015) (2020 constant dollars)","..","231.1.1.6","94,000"
"0004.00 - Calgary i232",,,"Number of households (2021) 4 5 6","..","232.1.1.1","1,270"
,,,"Median household total income (2020) (2020 constant dollars)","..","232.1.1.3","126,000"
,,,"Median household after-tax income (2015) (2020 constant dollars)","..","232.1.1.6","111,000"
"0005.00 - Calgary i233",,,"Number of households (2021) 4 5 6","..","233.1.1.1","890"
,,,"Median household total income (2020) (2020 constant dollars)","..","233.1.1.3","88,000"
,,,"Median household after-tax income (2015) (2020 constant dollars)","..","233.1.1.6","77,500"
"0006.00 - Calgary i234",,,"Number of households (2021) 4 5 6","..","234.1.1.1","2,535"
,,,"Median household total income (2020) (2020 constant dollars)","..","234.1.1.3","81,000"
,,,"Median household after-tax income (2015) (2020 constant dollars)","..","234.1.1.6","..."
"0007.01 - Calgary i235",,,"Number of households (2021) 4 5 6","..","235.1.1.1","2,475"
,,,"Median household total income (2020) (2020 constant dollars)","..","235.1.1.3","90,000"
,,,"Median household after-tax income (2015) (2020 constant dollars)","..","235.1.1.6","83,000"
"0007.02 - Calgary i236",,,"Number of households (2021) 4 5 6","..","236.1.1.1","2,550"
,,,"Median household total income (2020) (2020 constant dollars)","..","236.1.1.3","88,000"
,,,"Median household after-tax income (2015) (2020 constant dollars)","..","236.1.1.6","82,000"
"0007.03 - Calgary i237",,,"Number of households (2021) 4 5 6","..","237.1.1.1","2,255"
,,,"Median household total income (2020) (2020 constant dollars)","..","237.1.1.3","112,000"
,,,"Median household after-tax income (2015) (2020 constant dollars)","..","237.1.1.6","104,000"
"0007.05 - Calgary i238",,,"Number of households (2021) 4 5 6","..","238.1.1.1","240"
